Year,StressLevel,BurnoutLevel,DepressionLevel,TotalVisit
2012,3,1,2,85864
2012,3,1,3,85434
2012,3,2,1,85371
2012,3,2,2,85371
2012,3,2,3,85165
2012,3,3,1,85271
2012,3,3,2,85393
2012,3,3,3,85345
2013,1,1,1,85740
2013,1,1,2,85766
2013,1,1,3,85846
2013,1,2,1,85351
2013,1,2,2,85559
2013,1,2,3,85523
2013,1,3,1,85093
2013,1,3,2,85728
2013,1,3,3,85648
2013,2,1,1,85037
2013,2,1,2,85735
2013,2,1,3,84988
2013,2,2,1,85234
2013,2,2,2,85337
2013,2,2,3,85784
2013,2,3,1,85177
2013,2,3,2,86040
2013,2,3,3,85258
2013,3,1,1,85705
2013,3,1,2,85414
2013,3,1,3,85009
2013,3,2,1,85555
2013,3,2,2,85134
2013,3,2,3,85384
2013,3,3,1,85763
2013,3,3,2,85595
2013,3,3,3,85460
2014,1,1,1,85797
2014,1,1,2,85397
2014,1,1,3,85203
2014,1,2,1,85050
2014,1,2,2,85138
2014,1,2,3,85912
2014,1,3,1,85762
2014,1,3,2,85615
2014,1,3,3,85421
2014,2,1,1,85737
2014,2,1,2,85776
2014,2,1,3,85830
2014,2,2,1,84972
2014,2,2,2,85714
2014,2,2,3,85194
2014,2,3,1,85668
2014,2,3,2,85330
2014,2,3,3,85334
2014,3,1,1,85855
2014,3,1,2,85892
2014,3,1,3,85694
2014,3,2,1,85706
2014,3,2,2,85256
2014,3,2,3,85677
2014,3,3,1,85099
2014,3,3,2,85912
2014,3,3,3,85415
2015,1,1,1,85569
2015,1,1,2,85184
2015,1,1,3,85304
2015,1,2,1,85529
2015,1,2,2,85012
2015,1,2,3,85273
2015,1,3,1,85216
2015,1,3,2,85615
2015,1,3,3,85706
2015,2,1,1,85914
2015,2,1,2,85534
2015,2,1,3,84869
2015,2,2,1,85616
2015,2,2,2,85484
2015,2,2,3,85583
2015,2,3,1,85359
2015,2,3,2,85179
2015,2,3,3,85386
2015,3,1,1,85358
2015,3,1,2,85392
2015,3,1,3,85280
2015,3,2,1,85098
2015,3,2,2,85538
2015,3,2,3,85043
2015,3,3,1,85419
2015,3,3,2,85293
2015,3,3,3,85206
2016,1,1,1,85050
2016,1,1,2,85077
2016,1,1,3,85243
2016,1,2,1,85308
2016,1,2,2,85614
2016,1,2,3,85417
2016,1,3,1,85415
2016,1,3,2,85550
2016,1,3,3,85157
2016,2,1,1,85734
2016,2,1,2,85180
2016,2,1,3,85061
2016,2,2,1,85720
2016,2,2,2,85582
2016,2,2,3,86079
2016,2,3,1,85797
2016,2,3,2,85752
2016,2,3,3,85652
2016,3,1,1,85638
2016,3,1,2,85746
2016,3,1,3,85629
2016,3,2,1,85273
2016,3,2,2,85293
2016,3,2,3,85065
2016,3,3,1,85633
2016,3,3,2,85656
2016,3,3,3,85546
2017,1,1,1,85645
2017,1,1,2,85619
2017,1,1,3,85607
2017,1,2,1,85254
2017,1,2,2,85807
2017,1,2,3,85062
2017,1,3,1,85203
2017,1,3,2,84991
2017,1,3,3,85476
2017,2,1,1,85335
2017,2,1,2,85462
2017,2,1,3,85785
2017,2,2,1,85401
2017,2,2,2,85637
2017,2,2,3,85801
2017,2,3,1,85497
2017,2,3,2,85313
2017,2,3,3,85612
2017,3,1,1,85979
2017,3,1,2,85277
2017,3,1,3,85521
2017,3,2,1,85760
2017,3,2,2,85185
2017,3,2,3,85235
2017,3,3,1,85755
2017,3,3,2,85449
2017,3,3,3,85106
2018,1,1,1,85349
2018,1,1,2,85738
2018,1,1,3,85746
2018,1,2,1,85408
2018,1,2,2,85774
2018,1,2,3,85757
2018,1,3,1,85374
2018,1,3,2,84829
2018,1,3,3,85415
2018,2,1,1,84955
2018,2,1,2,85439
2018,2,1,3,85431
2018,2,2,1,85267
2018,2,2,2,85050
2018,2,2,3,85706
2018,2,3,1,85871
2018,2,3,2,85297
2018,2,3,3,85164
2018,3,1,1,85304
2018,3,1,2,85489
2018,3,1,3,85475
2018,3,2,1,85350
2018,3,2,2,85746
2018,3,2,3,85321
2018,3,3,1,85598
2018,3,3,2,85554
2018,3,3,3,84938
2019,1,1,1,85667
2019,1,1,2,85688
2019,1,1,3,85475
2019,1,2,1,85099
2019,1,2,2,85726
2019,1,2,3,84596
2019,1,3,1,85035
2019,1,3,2,85196
2019,1,3,3,85061
2019,2,1,1,85726
2019,2,1,2,85286
2019,2,1,3,86134
2019,2,2,1,84867
2019,2,2,2,85814
2019,2,2,3,85318
2019,2,3,1,85313
2019,2,3,2,85741
2019,2,3,3,85983
2019,3,1,1,85689
2019,3,1,2,85500
2019,3,1,3,85385
2019,3,2,1,85534
2019,3,2,2,85812
2019,3,2,3,85668
2019,3,3,1,85733
2019,3,3,2,85769
2019,3,3,3,85629
2020,1,1,1,85283
2020,1,1,2,86041
2020,1,1,3,85326
2020,1,2,1,84947
2020,1,2,2,85331
2020,1,2,3,86151
2020,1,3,1,85648
2020,1,3,2,85151
2020,1,3,3,85412
2020,2,1,1,85926
2020,2,1,2,85344
2020,2,1,3,85724
2020,2,2,1,85495
2020,2,2,2,85689
2020,2,2,3,85456
2020,2,3,1,85431
2020,2,3,2,85748
2020,2,3,3,85082
2020,3,1,1,84997
2020,3,1,2,85441
2020,3,1,3,85365
2020,3,2,1,84991
2020,3,2,2,85777
2020,3,2,3,85453
2020,3,3,1,85640
2020,3,3,2,85499
2020,3,3,3,84837
2021,1,1,1,85264
2021,1,1,2,85146
2021,1,1,3,85357
2021,1,2,1,85620
2021,1,2,2,85863
2021,1,2,3,85627
2021,1,3,1,85103
2021,1,3,2,85671
2021,1,3,3,85977
2021,2,1,1,85898
2021,2,1,2,85768
2021,2,1,3,85774
2021,2,2,1,85767
2021,2,2,2,85204
2021,2,2,3,85690
2021,2,3,1,85225
2021,2,3,2,85746
2021,2,3,3,85615
2021,3,1,1,85530
2021,3,1,2,85482
2021,3,1,3,86099
2021,3,2,1,85471
2021,3,2,2,85258
2021,3,2,3,85406
2021,3,3,1,85894
2021,3,3,2,85748
2021,3,3,3,84976
2022,1,1,1,85468
2022,1,1,2,85132
2022,1,1,3,85723
2022,1,2,1,84716
2022,1,2,2,85676
2022,1,2,3,85047
2022,1,3,1,85857
2022,1,3,2,85692
2022,1,3,3,85311
2022,2,1,1,85813
2022,2,1,2,85251
2022,2,1,3,85596
2022,2,2,1,85622
2022,2,2,2,85351
2022,2,2,3,86106
2022,2,3,1,85352
2022,2,3,2,85299
2022,2,3,3,85211
2022,3,1,1,85281
2022,3,1,2,85450
2022,3,1,3,85487
2022,3,2,1,85769
2022,3,2,2,85223
2022,3,2,3,85552
2022,3,3,1,85734
2022,3,3,2,85659
2022,3,3,3,85579
2023,1,1,1,85489
2023,1,1,2,85619
2023,1,1,3,85437
2023,1,2,1,85728
2023,1,2,2,85505
2023,1,2,3,85535
2023,1,3,1,85921
2023,1,3,2,85158
2023,1,3,3,85167
2023,2,1,1,85680
2023,2,1,2,85987
2023,2,1,3,85800
2023,2,2,1,85057
2023,2,2,2,85319
2023,2,2,3,85945
2023,2,3,1,86004
2023,2,3,2,85548
2023,2,3,3,84812
2023,3,1,1,85780
2023,3,1,2,85393
2023,3,1,3,85448
2023,3,2,1,85099
2023,3,2,2,85447
2023,3,2,3,85520
2023,3,3,1,85307
2023,3,3,2,85568
2023,3,3,3,84972
2024,1,1,1,84635
2024,1,1,2,85426
2024,1,1,3,85172
2024,1,2,1,85055
2024,1,2,2,85440
2024,1,2,3,85487
2024,1,3,1,85196
2024,1,3,2,85010
2024,1,3,3,84941
2024,2,1,1,85039
2024,2,1,2,85601
2024,2,1,3,85445
2024,2,2,1,85769
2024,2,2,2,85676
2024,2,2,3,85465
2024,2,3,1,85818
2024,2,3,2,85152
2024,2,3,3,85649
2024,3,1,1,85259
2024,3,1,2,85383
2024,3,1,3,85967
2024,3,2,1,85883
2024,3,2,2,85442
2024,3,2,3,85298
2024,3,3,1,85081
2024,3,3,2,85746
2024,3,3,3,85476
2025,1,1,1,85091
2025,1,1,2,85578
2025,1,1,3,85696
2025,1,2,1,85062
2025,1,2,2,85256
2025,1,2,3,84872
2025,1,3,1,85382
2025,1,3,2,85812
2025,1,3,3,85139
2025,2,1,1,85212
2025,2,1,2,85241
2025,2,1,3,85318
2025,2,2,1,85059
2025,2,2,2,85144
2025,2,2,3,85336
2025,2,3,1,85595
2025,2,3,2,85644
2025,2,3,3,85161
2025,3,1,1,85366
2025,3,1,2,85442
2025,3,1,3,85524
2025,3,2,1,85301
2025,3,2,2,85249
2025,3,2,3,85283
2025,3,3,1,85427
2025,3,3,2,84991
2025,3,3,3,85331
