Age,Gender,MaritalStatus,AvgIncome,NumberOfPatients
31,Female,Single,85217.30269152056,451975
31,Male,Married,85100.06916289248,243541
31,Male,Single,84946.2670762795,244784
32,Female,Married,84834.59312531866,455032
32,Female,Single,85082.65925045166,454994
32,Male,Married,85029.13629012497,244860
32,Male,Single,84968.21979650421,246983
33,Female,Married,84886.9173848689,453331
33,Female,Single,84974.23276528713,453895
33,Male,Married,84931.07288068849,243782
33,Male,Single,84817.00874556784,244238
34,Female,Married,85148.13678069854,451862
34,Female,Single,85209.17896954193,453837
34,Male,Married,84966.08230551933,244613
34,Male,Single,85039.30686929038,242354
35,Female,Married,85001.91161683983,450527
35,Female,Single,85130.44700374779,455202
35,Male,Married,84900.28300208626,243977
35,Male,Single,85013.96534681728,245230
36,Female,Married,85077.09703335687,454689
36,Female,Single,85230.02205558395,453944
36,Male,Married,84952.02185219034,244003
36,Male,Single,84714.00622257157,244272
37,Female,Married,85254.32754127422,452401
37,Female,Single,85015.36611747423,451997
37,Male,Married,85050.21028213577,243996
37,Male,Single,84983.09325924434,243311
38,Female,Married,85011.84792034405,454354
38,Female,Single,85169.65337909885,453908
38,Male,Married,85142.77867278815,242207
38,Male,Single,84982.44000261364,244869
39,Female,Married,85149.89591027219,453282
39,Female,Single,85136.24939631704,455123
39,Male,Married,84966.26381060675,244486
39,Male,Single,84995.09827018694,245171
40,Female,Married,85035.78614899293,452357
40,Female,Single,84972.63852712617,455409
40,Male,Married,84937.38981126373,244839
40,Male,Single,84886.0068815231,244132
41,Female,Married,84893.0587285744,452846
41,Female,Single,85359.07791926092,451801
41,Male,Married,84893.02782276054,242068
41,Male,Single,85057.002130395,242678
42,Female,Married,84957.0088867884,452807
42,Female,Single,85186.01701274797,452543
42,Male,Married,85125.75109489051,243860
42,Male,Single,85047.68984674799,244434
43,Female,Married,85014.42328015501,453631
43,Female,Single,85077.63112610434,455020
43,Male,Married,85213.81102768081,246380
43,Male,Single,85093.34278023677,244454
44,Female,Married,85009.01187356013,454034
44,Female,Single,84688.87924761673,455991
44,Male,Married,85024.03764382396,244396
44,Male,Single,85092.95517830572,244636
45,Female,Married,84952.53204010124,452355
45,Female,Single,85094.04078384077,451061
45,Male,Married,84990.3363552823,242669
45,Male,Single,85041.22611791956,243488
46,Female,Married,85112.89066798992,451414
46,Female,Single,84903.84863213963,452824
46,Male,Married,84894.87534671302,244799
46,Male,Single,84922.80073981016,243576
47,Female,Married,85179.95554605543,451456
47,Female,Single,85048.7870526355,456479
47,Male,Married,84984.96762342323,245517
47,Male,Single,85142.01841276576,245156
48,Female,Married,85049.34390965491,452930
48,Female,Single,84955.56114412536,454181
48,Male,Married,85073.18884162344,244247
48,Male,Single,84846.89059431503,245947
49,Female,Married,84869.70038163273,449909
49,Female,Single,85105.53489042867,454179
49,Male,Married,84996.06309249243,243674
49,Male,Single,85055.49025693731,243250
50,Female,Married,84994.35242206002,452239
50,Female,Single,85111.20172615792,451523
50,Male,Married,84897.79544690653,243966
50,Male,Single,85013.34328761294,244384
51,Female,Married,85047.35527913422,454620
51,Female,Single,84942.76719991716,453883
51,Male,Married,85167.44392840497,244598
51,Male,Single,84758.21363503758,243373
52,Female,Married,85053.13430441095,452487
52,Female,Single,85208.30901228411,457176
52,Male,Married,84850.91516866266,245994
52,Male,Single,85111.81248478455,246460
53,Female,Married,85078.80652947548,452410
53,Female,Single,84895.60251881059,453468
53,Male,Married,84919.69765575815,243021
53,Male,Single,85168.43529315057,243305
54,Female,Married,85054.11774598659,455472
54,Female,Single,85039.4062770429,452984
54,Male,Married,85131.18460316023,242894
54,Male,Single,84992.56194790301,243277
55,Female,Married,85016.04739778388,452595
55,Female,Single,84908.80145393038,456418
55,Male,Married,85014.224901707,245694
55,Male,Single,85185.06031078244,244351
56,Female,Married,85018.36314082933,455523
56,Female,Single,85016.3457612792,456659
56,Male,Married,85358.47372874428,244640
56,Male,Single,84951.25287005746,245901
57,Female,Married,84988.51257417038,452674
57,Female,Single,85093.65533127208,452800
57,Male,Married,84934.07081632737,242317
57,Male,Single,84578.67310501944,242298
58,Female,Married,85115.10464401623,452324
58,Female,Single,85035.50197479657,454224
58,Male,Married,85084.4085557509,244023
58,Male,Single,85119.14925630276,243782
59,Female,Married,84982.86978445806,453740
59,Female,Single,84988.6824931038,454598
59,Male,Married,85119.69729130043,245173
59,Male,Single,84990.86388221399,245530
60,Female,Married,85035.27316273552,156782
60,Female,Single,84781.02995788668,156720
60,Male,Married,84899.6499256666,83408
60,Male,Single,85713.82216810231,83354
