SocialMediaUsage,WorkingHours,GamingFrequency,SleepPatterns,VisitCount
Heavy,14,Often,Insufficient,73741
Heavy,14,Sometimes,Insufficient,73618
Heavy,15,Rarely,Insufficient,73513
Heavy,16,Often,Insufficient,73373
Heavy,16,Sometimes,Insufficient,73832
Light,0,Rarely,Insufficient,73706
Light,1,Often,Insufficient,73635
Light,1,Sometimes,Insufficient,73215
Light,2,Rarely,Insufficient,73078
Light,3,Often,Insufficient,73768
Light,3,Sometimes,Insufficient,73377
Light,4,Rarely,Insufficient,73531
Light,5,Often,Insufficient,73405
Light,5,Sometimes,Insufficient,73282
Light,6,Rarely,Insufficient,73890
Light,7,Often,Insufficient,73703
Light,7,Sometimes,Insufficient,73537
Light,8,Rarely,Insufficient,73103
Light,9,Often,Insufficient,73765
Light,9,Sometimes,Insufficient,73289
Light,10,Rarely,Insufficient,74022
Light,11,Often,Insufficient,73474
Light,11,Sometimes,Insufficient,73615
Light,12,Rarely,Insufficient,73538
Light,13,Often,Insufficient,73620
Light,13,Sometimes,Insufficient,73771
Light,14,Rarely,Insufficient,73149
Light,15,Often,Insufficient,73844
Light,15,Sometimes,Insufficient,73678
Light,16,Rarely,Insufficient,73433
Moderate,0,Often,Insufficient,73280
Moderate,0,Sometimes,Insufficient,73901
Moderate,1,Rarely,Insufficient,73898
Moderate,2,Often,Insufficient,73547
Moderate,2,Sometimes,Insufficient,73809
Moderate,3,Rarely,Insufficient,73758
Moderate,4,Often,Insufficient,73621
Moderate,4,Sometimes,Insufficient,73658
Moderate,5,Rarely,Insufficient,73742
Moderate,6,Often,Insufficient,73508
Moderate,6,Sometimes,Insufficient,74037
Moderate,7,Rarely,Insufficient,74006
Moderate,8,Often,Insufficient,73472
Moderate,8,Sometimes,Insufficient,73622
Moderate,9,Rarely,Insufficient,73341
Moderate,10,Often,Insufficient,73842
Moderate,10,Sometimes,Insufficient,73816
Moderate,11,Rarely,Insufficient,73059
Moderate,12,Often,Insufficient,73474
Moderate,12,Sometimes,Insufficient,73558
Moderate,13,Rarely,Insufficient,73820
Moderate,14,Often,Insufficient,73614
Moderate,14,Sometimes,Insufficient,73617
Moderate,15,Rarely,Insufficient,73346
Moderate,16,Often,Insufficient,73545
Moderate,16,Sometimes,Insufficient,73312
Addicted,0,Rarely,Irregular,73045
Addicted,1,Often,Irregular,73296
Addicted,1,Sometimes,Irregular,73693
Addicted,2,Rarely,Irregular,74377
Addicted,3,Often,Irregular,73620
Addicted,3,Sometimes,Irregular,73992
Addicted,4,Rarely,Irregular,73274
Addicted,5,Often,Irregular,73480
Addicted,5,Sometimes,Irregular,73517
Addicted,6,Rarely,Irregular,73608
Addicted,7,Often,Irregular,73276
Addicted,7,Sometimes,Irregular,73238
Addicted,8,Rarely,Irregular,73461
Addicted,9,Often,Irregular,73646
Addicted,9,Sometimes,Irregular,73650
Addicted,10,Rarely,Irregular,73444
Addicted,11,Often,Irregular,73774
Addicted,11,Sometimes,Irregular,73755
Addicted,12,Rarely,Irregular,73357
Addicted,13,Often,Irregular,73363
Addicted,13,Sometimes,Irregular,73549
Addicted,14,Rarely,Irregular,73478
Addicted,15,Often,Irregular,73720
Addicted,15,Sometimes,Irregular,73635
Addicted,16,Rarely,Irregular,73818
Heavy,0,Often,Irregular,73628
Heavy,0,Sometimes,Irregular,73604
Heavy,1,Rarely,Irregular,73468
Heavy,2,Often,Irregular,74038
Heavy,2,Sometimes,Irregular,73722
Heavy,3,Rarely,Irregular,73599
Heavy,4,Often,Irregular,73444
Heavy,4,Sometimes,Irregular,73720
Heavy,5,Rarely,Irregular,73155
Heavy,6,Often,Irregular,73992
Heavy,6,Sometimes,Irregular,73222
Heavy,7,Rarely,Irregular,73423
Heavy,8,Often,Irregular,73250
Heavy,8,Sometimes,Irregular,73560
Heavy,9,Rarely,Irregular,73119
Heavy,10,Often,Irregular,73340
Heavy,10,Sometimes,Irregular,73715
Heavy,11,Rarely,Irregular,73372
Heavy,12,Often,Irregular,73947
Heavy,12,Sometimes,Irregular,73520
Heavy,13,Rarely,Irregular,73407
Heavy,14,Often,Irregular,73926
Heavy,14,Sometimes,Irregular,73504
Heavy,15,Rarely,Irregular,73747
Heavy,16,Often,Irregular,73659
Heavy,16,Sometimes,Irregular,73772
Light,0,Rarely,Irregular,72897
Light,1,Often,Irregular,73409
Light,1,Sometimes,Irregular,73307
Light,2,Rarely,Irregular,73719
Light,3,Often,Irregular,73307
Light,3,Sometimes,Irregular,73815
Light,4,Rarely,Irregular,73275
Light,5,Often,Irregular,73568
Light,5,Sometimes,Irregular,73461
Light,6,Rarely,Irregular,73519
Light,7,Often,Irregular,73439
Light,7,Sometimes,Irregular,73126
Light,8,Rarely,Irregular,73543
Light,9,Often,Irregular,73350
Light,9,Sometimes,Irregular,73377
Light,10,Rarely,Irregular,73267
Light,11,Often,Irregular,74057
Light,11,Sometimes,Irregular,73096
Light,12,Rarely,Irregular,73637
Light,13,Often,Irregular,73848
Light,13,Sometimes,Irregular,73512
Light,14,Rarely,Irregular,73372
Light,15,Often,Irregular,74037
Light,15,Sometimes,Irregular,73575
Light,16,Rarely,Irregular,72896
Moderate,0,Often,Irregular,73505
Moderate,0,Sometimes,Irregular,73369
Moderate,1,Rarely,Irregular,73277
Moderate,2,Often,Irregular,73565
Moderate,2,Sometimes,Irregular,73743
Moderate,3,Rarely,Irregular,73572
Moderate,4,Often,Irregular,73885
Moderate,4,Sometimes,Irregular,73191
Moderate,5,Rarely,Irregular,73345
Moderate,6,Often,Irregular,73612
Moderate,6,Sometimes,Irregular,73723
Moderate,7,Rarely,Irregular,73576
Moderate,8,Often,Irregular,73439
Moderate,8,Sometimes,Irregular,73568
Moderate,9,Rarely,Irregular,73912
Moderate,10,Often,Irregular,74141
Moderate,10,Sometimes,Irregular,73121
Moderate,11,Rarely,Irregular,73127
Moderate,12,Often,Irregular,73753
Moderate,12,Sometimes,Irregular,73484
Moderate,13,Rarely,Irregular,73397
Moderate,14,Often,Irregular,73693
Moderate,14,Sometimes,Irregular,74014
Moderate,15,Rarely,Irregular,73423
Moderate,16,Often,Irregular,73200
Moderate,16,Sometimes,Irregular,73963
Addicted,0,Rarely,Oversleeping,73441
Addicted,1,Often,Oversleeping,73524
Addicted,1,Sometimes,Oversleeping,73336
Addicted,2,Rarely,Oversleeping,72977
Addicted,3,Often,Oversleeping,73944
Addicted,3,Sometimes,Oversleeping,73632
Addicted,4,Rarely,Oversleeping,72974
Addicted,5,Often,Oversleeping,73296
Addicted,5,Sometimes,Oversleeping,73851
Addicted,6,Rarely,Oversleeping,73698
Addicted,7,Often,Oversleeping,73356
Addicted,7,Sometimes,Oversleeping,73114
Addicted,8,Rarely,Oversleeping,73090
Addicted,9,Often,Oversleeping,73161
Addicted,9,Sometimes,Oversleeping,73535
Addicted,10,Rarely,Oversleeping,73895
Addicted,11,Often,Oversleeping,73538
Addicted,11,Sometimes,Oversleeping,73575
Addicted,12,Rarely,Oversleeping,73441
Addicted,13,Often,Oversleeping,73968
Addicted,13,Sometimes,Oversleeping,73590
Addicted,14,Rarely,Oversleeping,73631
Addicted,15,Often,Oversleeping,73306
Addicted,15,Sometimes,Oversleeping,73748
Addicted,16,Rarely,Oversleeping,73629
Heavy,0,Often,Oversleeping,73743
Heavy,0,Sometimes,Oversleeping,73153
Heavy,1,Rarely,Oversleeping,73752
Heavy,2,Often,Oversleeping,73455
Heavy,2,Sometimes,Oversleeping,73663
Heavy,3,Rarely,Oversleeping,73028
Heavy,4,Often,Oversleeping,73470
Heavy,4,Sometimes,Oversleeping,73556
Heavy,5,Rarely,Oversleeping,73534
Heavy,6,Often,Oversleeping,73525
Heavy,6,Sometimes,Oversleeping,73709
Heavy,7,Rarely,Oversleeping,73483
Heavy,8,Often,Oversleeping,73213
Heavy,8,Sometimes,Oversleeping,73559
Heavy,9,Rarely,Oversleeping,73641
Heavy,10,Often,Oversleeping,73413
Heavy,10,Sometimes,Oversleeping,72987
Heavy,11,Rarely,Oversleeping,73616
Heavy,12,Often,Oversleeping,74479
Heavy,12,Sometimes,Oversleeping,73339
Heavy,13,Rarely,Oversleeping,73177
Heavy,14,Often,Oversleeping,73647
Heavy,14,Sometimes,Oversleeping,72946
Heavy,15,Rarely,Oversleeping,73942
Heavy,16,Often,Oversleeping,73906
Heavy,16,Sometimes,Oversleeping,72997
Light,0,Rarely,Oversleeping,73456
Light,1,Often,Oversleeping,73308
Light,1,Sometimes,Oversleeping,73403
Light,2,Rarely,Oversleeping,73680
Light,3,Often,Oversleeping,73784
Light,3,Sometimes,Oversleeping,73536
Light,4,Rarely,Oversleeping,73932
Light,5,Often,Oversleeping,73970
Light,5,Sometimes,Oversleeping,73844
Light,6,Rarely,Oversleeping,73560
Light,7,Often,Oversleeping,73944
Light,7,Sometimes,Oversleeping,73282
Light,8,Rarely,Oversleeping,73456
Light,9,Often,Oversleeping,73391
Light,9,Sometimes,Oversleeping,73690
Light,10,Rarely,Oversleeping,74071
Light,11,Often,Oversleeping,73417
Light,11,Sometimes,Oversleeping,74111
Light,12,Rarely,Oversleeping,73289
Light,13,Often,Oversleeping,73450
Light,13,Sometimes,Oversleeping,73361
Light,14,Rarely,Oversleeping,74008
Light,15,Often,Oversleeping,73839
Light,15,Sometimes,Oversleeping,73940
Light,16,Rarely,Oversleeping,73569
Moderate,0,Often,Oversleeping,73654
Moderate,0,Sometimes,Oversleeping,73408
Moderate,1,Rarely,Oversleeping,73436
Moderate,2,Often,Oversleeping,73421
Moderate,2,Sometimes,Oversleeping,73779
Moderate,3,Rarely,Oversleeping,73523
Moderate,4,Often,Oversleeping,73863
Moderate,4,Sometimes,Oversleeping,73317
Moderate,5,Rarely,Oversleeping,73600
Moderate,6,Often,Oversleeping,73364
Moderate,6,Sometimes,Oversleeping,74126
Moderate,7,Rarely,Oversleeping,73577
Moderate,8,Often,Oversleeping,73980
Moderate,8,Sometimes,Oversleeping,73579
Moderate,9,Rarely,Oversleeping,73151
Moderate,10,Often,Oversleeping,73498
Moderate,10,Sometimes,Oversleeping,73505
Moderate,11,Rarely,Oversleeping,73286
Moderate,12,Often,Oversleeping,73671
Moderate,12,Sometimes,Oversleeping,73495
Moderate,13,Rarely,Oversleeping,73266
Moderate,14,Often,Oversleeping,72960
Moderate,14,Sometimes,Oversleeping,74184
Moderate,15,Rarely,Oversleeping,73606
Moderate,16,Often,Oversleeping,73642
Moderate,16,Sometimes,Oversleeping,73100
Addicted,0,Often,Regular,73507
Addicted,0,Sometimes,Regular,73771
Addicted,1,Rarely,Regular,73121
Addicted,2,Often,Regular,73660
Addicted,2,Sometimes,Regular,73570
Addicted,3,Rarely,Regular,73646
Addicted,4,Often,Regular,73561
Addicted,4,Sometimes,Regular,73148
Addicted,5,Rarely,Regular,73644
Addicted,6,Often,Regular,73502
Addicted,6,Sometimes,Regular,72901
Addicted,7,Rarely,Regular,73896
Addicted,8,Often,Regular,73838
Addicted,8,Sometimes,Regular,74209
Addicted,9,Rarely,Regular,73330
Addicted,10,Often,Regular,73355
Addicted,10,Sometimes,Regular,73688
Addicted,11,Rarely,Regular,73708
Addicted,12,Often,Regular,73441
Addicted,12,Sometimes,Regular,73943
Addicted,13,Rarely,Regular,73002
Addicted,14,Often,Regular,73703
Addicted,14,Sometimes,Regular,73949
Addicted,15,Rarely,Regular,73379
Addicted,16,Often,Regular,73637
Addicted,16,Sometimes,Regular,73646
Heavy,0,Rarely,Regular,73956
Heavy,1,Often,Regular,73512
Heavy,1,Sometimes,Regular,73422
Heavy,2,Rarely,Regular,73666
Heavy,3,Often,Regular,73205
Heavy,3,Sometimes,Regular,73834
Heavy,4,Rarely,Regular,73793
Heavy,5,Often,Regular,73526
Heavy,5,Sometimes,Regular,73503
Heavy,6,Rarely,Regular,73761
Heavy,7,Often,Regular,73229
Heavy,7,Sometimes,Regular,73983
Heavy,8,Rarely,Regular,73140
Heavy,9,Often,Regular,73493
Heavy,9,Sometimes,Regular,72906
Heavy,10,Rarely,Regular,73439
Heavy,11,Often,Regular,73255
Heavy,11,Sometimes,Regular,74164
Heavy,12,Rarely,Regular,73188
Heavy,13,Often,Regular,73670
Heavy,13,Sometimes,Regular,73074
Heavy,14,Rarely,Regular,73693
Heavy,15,Often,Regular,73073
Heavy,15,Sometimes,Regular,73634
Heavy,16,Rarely,Regular,73734
Light,0,Often,Regular,73734
Light,0,Sometimes,Regular,73158
Light,1,Rarely,Regular,73739
Light,2,Often,Regular,72919
Light,2,Sometimes,Regular,73357
Light,3,Rarely,Regular,73418
Light,4,Often,Regular,73278
Light,4,Sometimes,Regular,73942
Light,5,Rarely,Regular,73128
Light,6,Often,Regular,73341
Light,6,Sometimes,Regular,73226
Light,7,Rarely,Regular,73497
Light,8,Often,Regular,73414
Light,8,Sometimes,Regular,73528
Light,9,Rarely,Regular,73688
Light,10,Often,Regular,73510
Light,10,Sometimes,Regular,72724
Light,11,Rarely,Regular,74301
Light,12,Often,Regular,73447
Light,12,Sometimes,Regular,73597
Light,13,Rarely,Regular,73794
Light,14,Often,Regular,73865
Light,14,Sometimes,Regular,73314
Light,15,Rarely,Regular,73783
Light,16,Often,Regular,73391
Light,16,Sometimes,Regular,73268
Moderate,0,Rarely,Regular,73526
Moderate,1,Often,Regular,73585
Moderate,1,Sometimes,Regular,73469
Moderate,2,Rarely,Regular,73539
Moderate,3,Often,Regular,73358
Moderate,3,Sometimes,Regular,73623
Moderate,4,Rarely,Regular,73137
Moderate,5,Often,Regular,73756
Moderate,5,Sometimes,Regular,73598
Moderate,6,Rarely,Regular,72769
Moderate,7,Often,Regular,73417
Moderate,7,Sometimes,Regular,73844
Moderate,8,Rarely,Regular,73255
Moderate,9,Often,Regular,73429
Moderate,9,Sometimes,Regular,73624
Moderate,10,Rarely,Regular,72740
Moderate,11,Often,Regular,73530
Moderate,11,Sometimes,Regular,73967
Moderate,12,Rarely,Regular,73723
Moderate,13,Often,Regular,73298
Moderate,13,Sometimes,Regular,73405
Moderate,14,Rarely,Regular,73383
Moderate,15,Often,Regular,73396
Moderate,15,Sometimes,Regular,73314
Moderate,16,Rarely,Regular,73233
